"SurveyID","change.value","change.par","new.R0"
"Survey 2",0.7,"chi_H_Cattle",1.45506588146352
"Survey 2",0.7,"chi_H_Dog",1.45483162002568
"Survey 2",0.7,"chi_H_Goat/sheep",1.45280343171398
"Survey 2",0.7,"chi_H_Pig",1.4551064834665
"Survey 2",0.7,"chi_H_Poultry",1.2458281094604
"Survey 2",0.7,"phi",1.41241557606501
"Survey 2",0.8,"beta_Cattle",1.45505709223464
"Survey 2",0.8,"beta_Dog",1.4547759716056
"Survey 2",0.8,"beta_Goat/sheep",1.45235823751638
"Survey 2",0.8,"beta_Pig",1.45510581483173
"Survey 2",0.8,"beta_Poultry",1.19900594087079
"Survey 2",0.8,"chi_H_Cattle",1.45508053003425
"Survey 2",0.8,"chi_H_Dog",1.45493814904802
"Survey 2",0.8,"chi_H_Goat/sheep",1.4536477279436
"Survey 2",0.8,"chi_H_Pig",1.45510759785705
"Survey 2",0.8,"chi_H_Poultry",1.31898069966392
"Survey 2",0.8,"phi",1.42531181250357
"Survey 2",0.9,"beta_Cattle",1.45508199488142
"Survey 2",0.9,"beta_Dog",1.45494486982147
"Survey 2",0.9,"beta_Goat/sheep",1.45372761088733
"Survey 2",0.9,"beta_Pig",1.45510770929606
"Survey 2",0.9,"beta_Poultry",1.32587483537216
"Survey 2",0.9,"chi_H_Cattle",1.45509517842489
"Survey 2",0.9,"chi_H_Dog",1.45501709766993
"Survey 2",0.9,"chi_H_Goat/sheep",1.45449289011466
"Survey 2",0.9,"chi_H_Pig",1.4551087122467
"Survey 2",0.9,"chi_H_Poultry",1.38867109151653
"Survey 2",0.9,"phi",1.43896434267043
"Survey 2",2,"sigma_H_Cattle",1.4550366226045
"Survey 2",2,"sigma_H_Dog",1.45464656900337
"Survey 2",2,"sigma_H_Goat/sheep",1.45062121799906
"Survey 2",2,"sigma_H_Pig",1.45510426821851
"Survey 2",2,"sigma_H_Poultry",1.0814936563239
"Survey 2",3,"sigma_H_Cattle",1.45501220301257
"Survey 2",3,"sigma_H_Dog",1.45452830688647
"Survey 2",3,"sigma_H_Goat/sheep",1.44835586181758
"Survey 2",3,"sigma_H_Pig",1.45510240940187
"Survey 2",3,"sigma_H_Poultry",0.936332909991251
"Survey 2",4,"sigma_H_Cattle",1.45499998979215
"Survey 2",4,"sigma_H_Dog",1.45448286551445
"Survey 2",4,"sigma_H_Goat/sheep",1.4472376762635
"Survey 2",4,"sigma_H_Pig",1.45510147886229
"Survey 2",4,"sigma_H_Poultry",0.841294716290393
"Survey 2",5,"sigma_H_Cattle",1.45499266076371
"Survey 2",5,"sigma_H_Dog",1.45445559552792
"Survey 2",5,"sigma_H_Goat/sheep",1.44657173143862
"Survey 2",5,"sigma_H_Pig",1.455100920176
"Survey 2",5,"sigma_H_Poultry",0.774892346274249
"Survey 2",6,"sigma_H_Cattle",1.45498777428792
"Survey 2",6,"sigma_H_Dog",1.45443741338499
"Survey 2",6,"sigma_H_Goat/sheep",1.44601520044919
"Survey 2",6,"sigma_H_Pig",1.45510054756729
"Survey 2",6,"sigma_H_Poultry",0.725606672807513
"Survey 2",7,"sigma_H_Cattle",1.45498428372428
"Survey 2",7,"sigma_H_Dog",1.45442845672795
"Survey 2",7,"sigma_H_Goat/sheep",1.4456174582908
"Survey 2",7,"sigma_H_Pig",1.45510028134413
"Survey 2",7,"sigma_H_Poultry",0.688190163708778
"Survey 2",8,"sigma_H_Cattle",1.45498166567916
"Survey 2",8,"sigma_H_Dog",1.45442392098134
"Survey 2",8,"sigma_H_Goat/sheep",1.44537196705031
"Survey 2",8,"sigma_H_Pig",1.45510008163622
"Survey 2",8,"sigma_H_Poultry",0.658509142832645
"Survey 2",9,"sigma_H_Cattle",1.45497962934932
"Survey 2",9,"sigma_H_Dog",1.45442039303377
"Survey 2",9,"sigma_H_Goat/sheep",1.4452074645287
"Survey 2",9,"sigma_H_Pig",1.45509992628382
"Survey 2",9,"sigma_H_Poultry",0.634561328814238
"Survey 2",10,"sigma_H_Cattle",1.45497800023974
"Survey 2",10,"sigma_H_Dog",1.45441757058456
"Survey 2",10,"sigma_H_Goat/sheep",1.44507582836482
"Survey 2",10,"sigma_H_Pig",1.45509980198676
"Survey 2",10,"sigma_H_Poultry",0.614760635143335
"Survey 3",0.1,"beta_Cattle",1.24841864508422
"Survey 3",0.1,"beta_Dog",1.24692378943757
"Survey 3",0.1,"beta_Goat/sheep",1.2393239569309
"Survey 3",0.1,"beta_Pig",1.24847406593381
"Survey 3",0.1,"beta_Poultry",0.383045721254191
"Survey 3",0.1,"chi_H_Cattle",1.24844094641998
"Survey 3",0.1,"chi_H_Dog",1.24697086352682
"Survey 3",0.1,"chi_H_Goat/sheep",1.23995916618433
"Survey 3",0.1,"chi_H_Pig",1.24849132776023
"Survey 3",0.1,"chi_H_Poultry",0.54976082045245
"Survey 3",0.1,"phi",1.11501276368155
"Survey 3",0.2,"beta_Cattle",1.24842607892033
"Survey 3",0.2,"beta_Dog",1.246934182996
"Survey 3",0.2,"beta_Goat/sheep",1.23947932031824
"Survey 3",0.2,"beta_Pig",1.24847981990568
"Survey 3",0.2,"beta_Poultry",0.449392418438762
"Survey 3",0.2,"chi_H_Cattle",1.2484657250748
"Survey 3",0.2,"chi_H_Dog",1.24720400303443
"Survey 3",0.2,"chi_H_Goat/sheep",1.24095764581745
"Survey 3",0.2,"chi_H_Pig",1.24851050725361
"Survey 3",0.2,"chi_H_Poultry",0.676876106083451
"Survey 3",0.2,"phi",1.1315590881944
"Survey 3",0.3,"beta_Cattle",1.24843846851935
"Survey 3",0.3,"beta_Dog",1.24696142304814
"Survey 3",0.3,"beta_Goat/sheep",1.23989195501097
"Survey 3",0.3,"beta_Pig",1.24848940979273
"Survey 3",0.3,"beta_Poultry",0.534567242249734
"Survey 3",0.3,"chi_H_Cattle",1.24849050309061
"Survey 3",0.3,"chi_H_Dog",1.24761644938332
"Survey 3",0.3,"chi_H_Goat/sheep",1.24198540746514
"Survey 3",0.3,"chi_H_Pig",1.24852968641674
"Survey 3",0.3,"chi_H_Poultry",0.781223241759747
"Survey 3",0.3,"phi",1.14566868452613
"Survey 3",0.4,"beta_Cattle",1.24845581368956
"Survey 3",0.4,"beta_Dog",1.24704332741974
"Survey 3",0.4,"beta_Goat/sheep",1.24052993931044
"Survey 3",0.4,"beta_Pig",1.24850283549589
"Survey 3",0.4,"beta_Poultry",0.628750836379778
"Survey 3",0.4,"chi_H_Cattle",1.24851528046744
"Survey 3",0.4,"chi_H_Dog",1.24779663998621
"Survey 3",0.4,"chi_H_Goat/sheep",1.24292876570127
"Survey 3",0.4,"chi_H_Pig",1.24854886524964
"Survey 3",0.4,"chi_H_Poultry",0.870687680340279
"Survey 3",0.4,"phi",1.15972009125089
"Survey 3",0.5,"beta_Cattle",1.24847811416258
"Survey 3",0.5,"beta_Dog",1.24741395501906
"Survey 3",0.5,"beta_Goat/sheep",1.24135856493696
"Survey 3",0.5,"beta_Pig",1.24852009687645
"Survey 3",0.5,"beta_Poultry",0.730968937662721
"Survey 3",0.5,"chi_H_Cattle",1.24854005720536
"Survey 3",0.5,"chi_H_Dog",1.24797680318173
"Survey 3",0.5,"chi_H_Goat/sheep",1.24403639212429
"Survey 3",0.5,"chi_H_Pig",1.24857644833811
"Survey 3",0.5,"chi_H_Poultry",0.949097388212329
"Survey 3",0.5,"phi",1.1728236567405
"Survey 3",0.6,"beta_Cattle",1.24850536959338
"Survey 3",0.6,"beta_Dog",1.24772456703464
"Survey 3",0.6,"beta_Goat/sheep",1.24239327466194
"Survey 3",0.6,"beta_Pig",1.24854119375611
"Survey 3",0.6,"beta_Poultry",0.836663013800035
"Survey 3",0.6,"chi_H_Cattle",1.24859998158463
"Survey 3",0.6,"chi_H_Dog",1.24817799021018
"Survey 3",0.6,"chi_H_Goat/sheep",1.24455566152662
"Survey 3",0.6,"chi_H_Pig",1.2486366087702
"Survey 3",0.6,"chi_H_Poultry",1.0120466893571
"Survey 3",0.6,"phi",1.18797428110111
"Survey 3",0.7,"beta_Cattle",1.24853757956032
"Survey 3",0.7,"beta_Dog",1.24795878809515
"Survey 3",0.7,"beta_Goat/sheep",1.24399338494887
"Survey 3",0.7,"beta_Pig",1.24857043206375
"Survey 3",0.7,"beta_Poultry",0.941924334874709
"Survey 3",0.7,"chi_H_Cattle",1.24867226466114
"Survey 3",0.7,"chi_H_Dog",1.24832617937845
"Survey 3",0.7,"chi_H_Goat/sheep",1.24573449552834
"Survey 3",0.7,"chi_H_Pig",1.24869676500029
"Survey 3",0.7,"chi_H_Poultry",1.07434407518166
"Survey 3",0.7,"phi",1.20420695110855
"Survey 3",0.8,"beta_Cattle",1.24862889547298
"Survey 3",0.8,"beta_Dog",1.24822306853141
"Survey 3",0.8,"beta_Goat/sheep",1.24487798513481
"Survey 3",0.8,"beta_Pig",1.24866067176642
"Survey 3",0.8,"beta_Poultry",1.03637194430337
"Survey 3",0.8,"chi_H_Cattle",1.24874454225721
"Survey 3",0.8,"chi_H_Dog",1.24851712844975
