"variable","importance","rep"
"mu_T",0.0325932110641357,26
"phi",0.107630180343099,26
"chi_H",0.222732740287046,26
"beta",0.226276962151379,26
"gamma_H",0.0113666182410092,26
"sigma_H",0.0345980383854163,26
"mu_H",0.0705969609286966,26
"v_H",0.0130498674565383,26
"mu_T",0.033263414205009,27
"phi",0.107794362893447,27
"chi_H",0.217871559407352,27
"beta",0.225192530189527,27
"gamma_H",0.0112308247144859,27
"sigma_H",0.0351893270823097,27
"mu_H",0.0757660442022791,27
"v_H",0.0132380564034255,27
"mu_T",0.032800815321457,28
"phi",0.1080924846856,28
"chi_H",0.218629278694624,28
"beta",0.22176412943519,28
"gamma_H",0.0116210844693142,28
"sigma_H",0.0340789246184402,28
"mu_H",0.0749733426079781,28
"v_H",0.0136562347819182,28
"mu_T",0.0331131102654761,29
"phi",0.107741296846329,29
"chi_H",0.21625931251447,29
"beta",0.218907918251262,29
"gamma_H",0.0116356086150694,29
"sigma_H",0.034058352455739,29
"mu_H",0.0727645031633023,29
"v_H",0.0133573653798857,29
"mu_T",0.0328284963119168,30
"phi",0.10807921768338,30
"chi_H",0.216636717462154,30
"beta",0.222892739438676,30
"gamma_H",0.0113840201107252,30
"sigma_H",0.0344655678655205,30
"mu_H",0.0742042491257474,30
"v_H",0.013066251153806,30
"mu_T",0.0331385562499605,31
"phi",0.108393569361318,31
"chi_H",0.215866389009412,31
"beta",0.21874613939276,31
"gamma_H",0.0113735171484817,31
"sigma_H",0.034181535284808,31
"mu_H",0.0748636460292755,31
"v_H",0.0134899731103246,31
"mu_T",0.0327039645766803,32
"phi",0.10809397559178,32
"chi_H",0.226531922494488,32
"beta",0.226086486371908,32
"gamma_H",0.0114904462491105,32
"sigma_H",0.0337346979569828,32
"mu_H",0.0735102488867872,32
"v_H",0.0132496356068048,32
"mu_T",0.0330016181824891,33
"phi",0.108451772542643,33
